Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
110.060	100.171	103.602
110.100	146.995	103.630
110.140	192.556	103.656
110.180	234.171	103.683
110.220	266.308	103.711
110.260	288.820	103.736
110.300	309.507	103.768
110.340	327.360	103.797
110.380	339.858	103.821
110.420	343.999	103.850
110.460	336.086	103.877
110.500	307.074	103.901
110.540	259.309	103.929
110.580	207.432	103.962
110.620	153.558	103.987
110.660	95.196	104.019
110.700	29.506	104.045
110.740	-45.993	104.071
110.780	-131.519	104.100
110.820	-225.635	104.130
110.860	-314.993	104.160
110.900	-398.084	104.186
110.940	-473.209	104.214
110.980	-539.114	104.244
111.020	-596.667	104.267
111.060	-631.590	104.304
111.100	-638.460	104.332
111.140	-636.217	104.356
111.180	-632.730	104.390
111.220	-633.722	104.418
111.260	-627.080	104.451
111.300	-613.624	104.481
111.340	-596.156	104.508
111.380	-571.251	104.538
111.420	-536.832	104.566
111.460	-488.763	104.595
111.500	-425.778	104.629
111.540	-355.748	104.662
111.580	-286.631	104.684
111.620	-213.435	104.712
111.660	-137.926	104.748
111.700	-63.793	104.776
111.740	9.779	104.803
111.780	79.868	104.832
111.820	142.949	104.866
111.860	197.988	104.893
111.900	241.576	104.924
111.940	271.967	104.952
111.980	286.174	104.985
112.020	287.475	105.016
112.060	279.987	105.044
112.100	268.839	105.081
112.140	248.204	105.102
112.180	214.978	105.134
112.220	174.922	105.169
112.260	127.925	105.199
112.300	79.007	105.230
112.340	27.934	105.260
112.380	-28.553	105.290
112.420	-85.400	105.322
112.460	-143.169	105.352
112.500	-201.543	105.383
112.540	-254.158	105.414
112.580	-295.996	105.446
112.620	-330.072	105.474
112.660	-355.593	105.506
112.700	-368.855	105.541
112.740	-371.455	105.568
112.780	-356.674	105.601
112.820	-322.148	105.634
112.860	-276.445	105.664
112.900	-225.631	105.696
112.940	-168.242	105.728
112.980	-101.516	105.761
113.020	-28.297	105.788
113.060	50.236	105.824
113.100	130.014	105.858
113.140	210.315	105.889
113.180	291.079	105.918
113.220	369.053	105.950
113.260	446.473	105.981
113.300	526.772	106.016
113.340	599.256	106.045
113.380	657.501	106.082
113.420	701.537	106.114
113.460	725.573	106.145
113.500	737.160	106.179
113.540	732.432	106.208
113.580	706.522	106.239
113.620	664.572	106.270
113.660	606.232	106.306
113.700	538.977	106.338
113.740	468.008	106.370
113.780	387.236	106.406
113.820	296.623	106.440
113.860	201.195	106.468
113.900	97.862	106.505
113.940	-11.043	106.533
113.980	-126.069	106.567
114.020	-236.077	106.598
114.060	-326.849	106.634
114.100	-391.950	106.668
114.140	-445.373	106.701
114.180	-491.170	106.735
114.220	-528.494	106.766
114.260	-549.291	106.798
114.300	-556.426	106.834
114.340	-554.238	106.864
114.380	-525.551	106.900
114.420	-483.136	106.934
114.460	-436.766	106.966
114.500	-376.780	107.000
114.540	-305.995	107.032
114.580	-222.066	107.067
114.620	-132.464	107.100
114.660	-44.096	107.137
114.700	40.550	107.168
114.740	118.684	107.202
114.780	189.533	107.233
114.820	255.801	107.268
114.860	310.553	107.305
114.900	353.964	107.335
114.940	380.712	107.373
114.980	381.018	107.403
115.020	358.714	107.438
115.060	319.973	107.477
115.100	274.427	107.506
115.140	223.055	107.541
115.180	162.930	107.574
115.220	91.535	107.609
115.260	11.205	107.642
115.300	-69.254	107.676
115.340	-129.852	107.714
115.380	-184.110	107.747
115.420	-228.063	107.778
115.460	-264.367	107.811
115.500	-301.914	107.848
115.540	-346.190	107.888
115.580	-382.930	107.918
115.620	-408.395	107.951
115.660	-420.650	107.986
115.700	-417.742	108.023
115.740	-394.903	108.054
115.780	-352.570	108.089
115.820	-296.709	108.127
115.860	-234.975	108.162
115.900	-159.809	108.192
115.940	-66.297	108.228
115.980	29.677	108.266
116.020	124.947	108.299
116.060	219.136	108.331
116.100	306.734	108.368
116.140	382.896	108.405
116.180	445.018	108.434
116.220	493.935	108.474
116.260	527.671	108.505
116.300	541.535	108.544
116.340	547.445	108.576
116.380	526.401	108.615
116.420	497.121	108.647
116.460	458.466	108.686
116.500	370.289	108.721
116.540	252.200	108.756
116.580	128.850	108.791
116.620	11.129	108.829
116.660	-112.228	108.862
116.700	-250.615	108.898
116.740	-387.895	108.933
116.780	-508.852	108.967
116.820	-612.481	109.005
