Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
109.980	427.994	103.540
110.020	255.330	103.566
110.060	78.981	103.595
110.100	-105.613	103.624
110.140	-298.903	103.649
110.180	-487.243	103.681
110.220	-655.627	103.707
110.260	-821.549	103.732
110.300	-983.500	103.757
110.340	-1117.210	103.787
110.380	-1219.736	103.816
110.420	-1278.641	103.844
110.460	-1301.492	103.872
110.500	-1266.191	103.902
110.540	-1198.711	103.928
110.580	-1125.191	103.953
110.620	-1041.483	103.984
110.660	-948.597	104.014
110.700	-835.161	104.041
110.740	-704.763	104.069
110.780	-562.565	104.098
110.820	-419.103	104.125
110.860	-294.323	104.153
110.900	-176.287	104.182
110.940	-44.284	104.209
110.980	128.141	104.237
111.020	310.151	104.268
111.060	468.879	104.297
111.100	632.359	104.326
111.140	781.971	104.355
111.180	930.652	104.382
111.220	1045.730	104.412
111.260	1121.351	104.442
111.300	1174.287	104.473
111.340	1201.837	104.501
111.380	1187.692	104.529
111.420	1136.558	104.560
111.460	1050.311	104.586
111.500	932.018	104.618
111.540	797.928	104.650
111.580	643.693	104.682
111.620	464.046	104.708
111.660	269.232	104.738
111.700	68.498	104.767
111.740	-148.886	104.799
111.780	-363.469	104.827
111.820	-575.580	104.857
111.860	-780.446	104.889
111.900	-963.154	104.920
111.940	-1121.821	104.949
111.980	-1235.660	104.980
112.020	-1286.682	105.010
112.060	-1287.514	105.041
112.100	-1262.909	105.069
112.140	-1210.499	105.101
112.180	-1136.818	105.133
112.220	-1034.755	105.159
112.260	-895.653	105.191
112.300	-737.266	105.224
112.340	-564.046	105.258
112.380	-359.893	105.286
112.420	-135.325	105.316
112.460	106.315	105.343
112.500	360.046	105.377
112.540	610.372	105.409
112.580	851.661	105.442
112.620	1080.710	105.472
112.660	1290.811	105.505
112.700	1468.314	105.536
112.740	1602.965	105.566
112.780	1684.001	105.595
112.820	1738.406	105.630
112.860	1774.008	105.658
112.900	1784.124	105.691
112.940	1763.657	105.723
112.980	1718.440	105.753
113.020	1666.700	105.786
113.060	1624.388	105.814
113.100	1590.914	105.853
113.140	1497.186	105.880
113.180	1307.972	105.913
113.220	1049.064	105.945
113.260	748.484	105.980
113.300	419.708	106.011
113.340	113.728	106.044
113.380	-154.149	106.079
113.420	-396.733	106.108
113.460	-603.720	106.137
113.500	-792.414	106.172
113.540	-942.732	106.202
113.580	-1046.493	106.233
113.620	-1093.138	106.266
113.660	-1083.632	106.301
113.700	-1034.700	106.335
113.740	-943.328	106.367
113.780	-811.649	106.399
113.820	-641.759	106.433
113.860	-436.232	106.463
113.900	-183.648	106.497
113.940	97.238	106.531
113.980	392.115	106.566
114.020	697.734	106.595
114.060	995.376	106.626
114.100	1259.147	106.661
114.140	1466.907	106.696
114.180	1629.709	106.728
114.220	1765.552	106.761
114.260	1867.436	106.793
114.300	1937.931	106.832
114.340	1971.013	106.864
114.380	1921.708	106.895
114.420	1847.777	106.926
114.460	1753.086	106.960
114.500	1610.901	106.997
114.540	1418.797	107.030
114.580	1195.487	107.061
114.620	955.206	107.090
114.660	700.180	107.126
114.700	442.571	107.161
114.740	173.416	107.195
114.780	-95.037	107.234
114.820	-345.674	107.265
114.860	-553.194	107.295
114.900	-731.275	107.328
114.940	-865.383	107.362
114.980	-950.109	107.402
115.020	-989.403	107.432
115.060	-984.584	107.465
115.100	-941.240	107.502
115.140	-858.477	107.534
115.180	-742.629	107.568
115.220	-590.942	107.602
115.260	-407.854	107.636
115.300	-211.818	107.672
115.340	-35.125	107.705
115.380	156.240	107.740
115.420	325.150	107.775
115.460	473.933	107.808
115.500	656.218	107.843
115.540	860.453	107.877
115.580	1036.278	107.913
115.620	1177.304	107.946
115.660	1281.928	107.979
115.700	1326.454	108.019
115.740	1308.312	108.045
115.780	1235.111	108.083
115.820	1128.596	108.117
115.860	991.289	108.155
115.900	788.798	108.188
115.940	520.600	108.222
115.980	240.099	108.262
116.020	-54.043	108.293
116.060	-363.282	108.326
116.100	-680.050	108.365
116.140	-963.821	108.395
116.180	-1219.875	108.433
116.220	-1442.395	108.468
116.260	-1593.607	108.502
116.300	-1684.176	108.536
116.340	-1746.585	108.574
116.380	-1734.995	108.611
116.420	-1696.956	108.643
116.460	-1546.441	108.682
116.500	-1300.442	108.713
116.540	-1037.829	108.752
116.580	-776.459	108.782
116.620	-492.677	108.824
116.660	-173.523	108.855
116.700	190.926	108.892
116.740	566.952	108.930
116.780	920.090	108.963
116.820	1245.091	109.002
116.860	1546.917	109.037
116.900	1807.118	109.074
116.940	2016.775	109.102
116.980	2195.281	109.143
117.020	2324.575	109.175
117.060	2397.681	109.212
117.100	2404.001	109.252
117.140	2312.810	109.288
117.180	2162.517	109.322
117.220	1937.411	109.358
117.260	1621.803	109.396
117.300	1251.795	109.430
117.340	879.377	109.463
117.380	494.978	109.501
117.420	91.879	109.539
117.460	-350.187	109.573
117.500	-829.398	109.609
117.540	-1287.956	109.642
117.580	-1688.901	109.681
117.620	-2039.057	109.717
117.660	-2338.958	109.752
117.700	-2562.213	109.793
117.740	-2709.556	109.827
117.780	-2757.126	109.865
117.820	-2716.060	109.900
117.860	-2642.607	109.938
117.900	-2562.937	109.969
117.940	-2453.027	110.007
117.980	-2350.884	110.044
118.020	-2243.300	110.080
118.060	-2051.109	110.117
118.100	-1694.653	110.153
118.140	-1288.552	110.193
118.180	-838.733	110.227
118.220	-368.312	110.260
118.260	61.778	110.302
118.300	453.491	110.338
118.340	782.264	110.374
118.380	1045.529	110.411
118.420	1243.573	110.450
118.460	1348.824	110.488
118.500	1339.783	110.524
118.540	1252.813	110.556
118.580	1103.447	110.594
118.620	928.263	110.631
118.660	751.465	110.670
118.700	552.053	110.704
118.740	308.628	110.742
118.780	44.907	110.779
118.820	-218.661	110.815
118.860	-483.336	110.854
118.900	-725.009	110.884
118.940	-916.713	110.926
118.980	-1034.103	110.963
119.020	-1106.203	111.001
119.060	-1144.953	111.035
119.100	-1135.462	111.077
119.140	-1095.563	111.110
119.180	-1022.248	111.148
119.220	-912.436	111.189
119.260	-775.047	111.224
119.300	-586.592	111.260
119.340	-366.835	111.299
119.380	-144.477	111.338
119.420	54.548	111.376
119.460	256.697	111.412
119.500	440.910	111.444
119.540	594.568	111.488
119.580	683.811	111.523
119.620	666.214	111.559
119.660	668.355	111.599
119.700	822.544	111.635
119.740	934.708	111.675
119.780	932.024	111.708
119.820	936.829	111.746
119.860	909.593	111.785
119.900	797.805	111.821
119.940	647.631	111.863
119.980	465.921	111.899
120.020	246.434	111.935
120.060	-6.887	111.968
120.100	-255.264	112.008
120.140	-459.476	112.049
120.180	-605.995	112.087
120.220	-728.042	112.124
120.260	-839.392	112.162
120.300	-890.871	112.200
120.340	-878.293	112.235
120.380	-810.958	112.276
120.420	-698.194	112.312
120.460	-547.593	112.347
120.500	-375.569	112.389
120.540	-172.068	112.426
120.580	53.356	112.459
120.620	279.615	112.498
120.660	498.532	112.539
120.700	699.131	112.577
120.740	896.560	112.621
120.780	1099.512	112.654
120.820	1263.386	112.691
120.860	1346.548	112.728
120.900	1374.142	112.765
120.940	1365.962	112.807
120.980	1319.304	112.842
121.020	1225.299	112.879
121.060	1091.846	112.915
121.100	906.979	112.957
121.140	678.517	112.996
121.180	414.401	113.031
121.220	150.944	113.067
121.260	-85.470	113.104
121.300	-315.714	113.144
121.340	-550.478	113.179
121.380	-765.264	113.227
121.420	-942.546	113.263
121.460	-1076.742	113.300
121.500	-1142.167	113.338
121.540	-1130.252	113.377
121.580	-1049.543	113.415
121.620	-922.377	113.452
121.660	-723.979	113.491
121.700	-464.006	113.530
121.740	-161.517	113.567
121.780	185.947	113.603
121.820	564.395	113.645
121.860	945.593	113.683
121.900	1284.081	113.718
121.940	1515.595	113.758
121.980	1653.463	113.799
122.020	1777.970	113.835
122.060	1909.088	113.873
122.100	2033.968	113.914
122.140	2095.457	113.949
122.180	2090.486	113.990
122.220	2034.398	114.030
122.260	1928.346	114.070
122.300	1762.847	114.104
122.340	1516.499	114.144
122.380	1224.194	114.180
122.420	901.170	114.221
122.460	552.504	114.264
122.500	181.521	114.300
122.540	-194.908	114.341
122.580	-614.091	114.378
122.620	-1041.268	114.417
122.660	-1454.763	114.458
122.700	-1830.271	114.494
122.740	-2133.515	114.533
122.780	-2348.135	114.569
122.820	-2482.448	114.608
122.860	-2525.997	114.649
122.900	-2454.940	114.684
122.940	-2297.542	114.723
122.980	-2113.730	114.763
123.020	-1883.190	114.801
123.060	-1566.644	114.841
123.100	-1231.966	114.882
123.140	-902.328	114.917
123.180	-548.668	114.956
123.220	-171.069	114.999
123.260	185.072	115.034
123.300	504.580	115.074
123.340	789.279	115.116
123.380	1040.348	115.153
123.420	1203.356	115.190
123.460	1306.046	115.227
123.500	1372.828	115.268
123.540	1369.930	115.307
123.580	1298.776	115.347
123.620	1189.438	115.385
123.660	1034.087	115.422
123.700	815.859	115.469
123.740	557.749	115.505
123.780	268.769	115.541
123.820	5.659	115.582
123.860	-222.501	115.619
123.900	-420.791	115.657
123.940	-596.132	115.695
123.980	-755.266	115.740
124.020	-863.723	115.777
124.060	-920.611	115.813
124.100	-948.731	115.852
124.140	-963.027	115.888
124.180	-963.603	115.934
124.220	-893.512	115.971
124.260	-761.592	116.011
124.300	-601.811	116.049
124.340	-409.626	116.085
124.380	-190.180	116.125
124.420	26.071	116.166
124.460	225.096	116.204
124.500	421.571	116.243
124.540	587.314	116.285
124.580	708.098	116.326
124.620	793.155	116.363
124.660	835.868	116.399
124.700	832.288	116.441
124.740	791.967	116.480
124.780	726.080	116.520
124.820	615.130	116.557
124.860	443.030	116.598
124.900	238.849	116.636
124.940	9.906	116.677
124.980	-232.694	116.714
125.020	-468.175	116.752
125.060	-693.579	116.793
125.100	-898.304	116.837
125.140	-1066.001	116.876
125.180	-1178.502	116.910
125.220	-1223.911	116.952
125.260	-1224.151	116.993
125.300	-1169.122	117.030
125.340	-1062.181	117.066
125.380	-918.963	117.107
125.420	-739.923	117.149
125.460	-515.318	117.190
125.500	-273.315	117.225
125.540	-7.682	117.268
125.580	279.378	117.310
125.620	570.647	117.348
125.660	846.601	117.389
125.700	1070.872	117.424
125.740	1254.746	117.464
125.780	1396.484	117.503
125.820	1535.184	117.544
125.860	1641.582	117.589
125.900	1665.983	117.620
125.940	1539.298	117.660
125.980	1306.987	117.704
126.020	1002.989	117.735
126.060	651.899	117.779
126.100	292.538	117.819
126.140	-99.578	117.862
126.180	-486.158	117.897
126.220	-825.811	117.936
126.260	-1147.876	117.979
126.300	-1407.188	118.017
126.340	-1632.144	118.055
126.380	-1824.755	118.094
126.420	-1967.635	118.137
126.460	-2049.338	118.176
126.500	-2089.011	118.213
126.540	-2083.512	118.256
126.580	-2025.164	118.294
126.620	-1898.037	118.338
126.660	-1712.747	118.374
126.700	-1464.840	118.415
126.740	-1164.717	118.453
126.780	-831.171	118.491
126.820	-472.931	118.534
126.860	-104.917	118.575
126.900	220.249	118.607
126.940	515.635	118.651
126.980	767.765	118.691
127.020	972.991	118.731
127.060	1137.971	118.775
127.100	1232.175	118.812
127.140	1281.615	118.851
127.180	1308.106	118.885
127.220	1300.507	118.933
127.260	1234.230	118.970
127.300	1096.596	119.011
127.340	905.390	119.050
127.380	686.596	119.092
127.420	463.466	119.128
127.460	246.893	119.169
127.500	46.150	119.212
127.540	-139.122	119.249
127.580	-299.097	119.286
127.620	-439.123	119.326
127.660	-567.636	119.366
127.700	-686.988	119.409
127.740	-780.665	119.445
127.780	-857.451	119.483
127.820	-867.183	119.527
127.860	-814.861	119.566
127.900	-746.976	119.606
127.940	-645.537	119.644
127.980	-502.409	119.693
128.020	-335.811	119.724
128.060	-103.692	119.765
128.100	164.192	119.803
128.140	404.981	119.848
128.180	583.221	119.882
128.220	705.616	119.922
128.260	801.870	119.966
128.300	850.439	120.005
128.340	857.802	120.042
128.380	849.187	120.083
128.420	826.626	120.121
128.460	767.253	120.163
128.500	604.478	120.203
128.540	357.940	120.242
128.580	94.533	120.280
128.620	-115.848	120.322
128.660	-309.844	120.365
128.700	-497.555	120.403
128.740	-697.905	120.441
128.780	-910.967	120.486
128.820	-1104.922	120.524
128.860	-1228.320	120.560
128.900	-1278.608	120.596
128.940	-1267.469	120.643
128.980	-1171.304	120.681
129.020	-1001.850	120.723
129.060	-819.195	120.762
129.100	-638.475	120.799
129.140	-441.413	120.839
129.180	-225.456	120.881
129.220	-8.051	120.923
129.260	202.523	120.960
129.300	383.759	121.000
129.340	541.199	121.038
129.380	669.969	121.079
129.420	760.328	121.123
129.460	802.092	121.160
129.500	779.982	121.202
129.540	704.982	121.238
129.580	592.126	121.278
129.620	428.914	121.319
129.660	223.036	121.362
129.700	-32.475	121.401
129.740	-316.949	121.440
129.780	-611.059	121.482
129.820	-890.418	121.520
129.860	-1146.422	121.559
129.900	-1365.044	121.599
129.940	-1551.564	121.640
129.980	-1719.140	121.680
130.020	-1864.994	121.719
130.060	-1973.773	121.759
130.100	-2016.936	121.797
130.140	-1911.713	121.836
130.180	-1682.771	121.880
130.220	-1462.616	121.920
130.260	-1179.561	121.957
130.300	-852.575	121.998
130.340	-470.860	122.039
130.380	-67.166	122.080
130.420	344.383	122.118
130.460	764.113	122.162
130.500	1183.241	122.200
130.540	1568.203	122.239
130.580	1931.098	122.279
130.620	2218.132	122.321
130.660	2398.027	122.361
130.700	2454.858	122.398
130.740	2385.489	122.438
130.780	2266.286	122.482
130.820	2100.275	122.521
130.860	1880.516	122.557
130.900	1632.299	122.597
130.940	1346.340	122.643
130.980	1010.065	122.681
131.020	616.346	122.720
131.060	194.154	122.764
131.100	-236.092	122.800
131.140	-634.023	122.838
131.180	-1008.508	122.877
131.220	-1327.306	122.920
131.260	-1586.644	122.963
131.300	-1801.524	123.003
131.340	-1920.682	123.042
131.380	-1940.787	123.081
131.420	-1914.608	123.122
131.460	-1829.350	123.163
131.500	-1686.282	123.200
131.540	-1504.947	123.246
131.580	-1298.104	123.281
131.620	-1069.127	123.322
131.660	-817.229	123.359
131.700	-589.957	123.406
131.740	-376.086	123.442
131.780	-154.330	123.483
131.820	49.516	123.524
131.860	214.070	123.565
131.900	354.260	123.602
131.940	453.167	123.644
131.980	518.371	123.688
132.020	527.946	123.719
132.060	480.396	123.763
132.100	417.871	123.803
132.140	336.820	123.846
132.180	220.528	123.880
132.220	75.164	123.923
132.260	-96.242	123.964
132.300	-266.601	124.002
132.340	-411.322	124.045
132.380	-528.180	124.086
132.420	-645.057	124.122
132.460	-727.434	124.163
132.500	-765.335	124.204
132.540	-762.228	124.244
